model	pair	kendall	kendall_p	spearman	spearman_p	pearson	pearson_p
canine-c-lamb	en-cs	0.3360412842275241	0.0	0.4829530604157054	0.0	0.49561742217231264	0.0
canine-c-lamb	en-de	0.254250127539472	0.0	0.37136895838406164	0.0	0.4097734481391535	0.0
canine-c-lamb	en-fi	0.414295773664329	0.0	0.5873003819741969	0.0	0.58437613862571	0.0
canine-c-lamb	en-gu	0.36878813193035553	0.0	0.5264313978539924	0.0	0.5127037577547608	0.0
canine-c-lamb	en-kk	0.3831789833875066	0.0	0.5443181830031367	0.0	0.5662906820325634	0.0
canine-c-lamb	en-lt	0.35526108791716154	0.0	0.508939938500695	0.0	0.510161871485516	0.0
canine-c-lamb	en-ru	0.3963999204116993	0.0	0.5587772532374317	0.0	0.6192301351234952	0.0
canine-c-lamb	en-zh	0.24664915140489393	0.0	0.36035460145553383	0.0	0.38082443249699083	0.0
canine-c-lamb	de-en	0.2709486526465537	0.0	0.3938984343024997	0.0	0.36978498519661496	0.0
canine-c-lamb	fi-en	0.2686630582674782	0.0	0.39167785933472365	0.0	0.38034255150877466	0.0
canine-c-lamb	gu-en	0.2458462397243107	9.90155924442007e-270	0.35877989347380057	1.7621799956607473e-273	0.36028122505879245	6.380049791584898e-276
canine-c-lamb	kk-en	0.3193726181613773	0.0	0.4581491145554558	0.0	0.4602307515908624	0.0
canine-c-lamb	lt-en	0.3046255513083116	0.0	0.439608507282075	0.0	0.4719264242681293	0.0
canine-c-lamb	ru-en	0.23922981710148575	0.0	0.3490669242421559	0.0	0.3355748091638181	0.0
canine-c-lamb	zh-en	0.3821417280139753	0.0	0.543125417549552	0.0	0.5534449255088889	0.0
